timestamp,bid_price_1,ask_price_1,bid_volume_1,ask_volume_1,bid_price_2,ask_price_2,bid_volume_2,ask_volume_2,bid_price_3,ask_price_3,bid_volume_3,ask_volume_3,bid_price_4,ask_price_4,bid_volume_4,ask_volume_4,bid_price_5,ask_price_5,bid_volume_5,ask_volume_5,stock
2023-01-01 00:00:00,103.74540118847362,111.8513292883862,319,643,102.68853514382194,119.18397542081559,643,775,101.02496329189213,119.27674541499519,672,131,100.70871700654874,118.25671445979478,891,322,106.5953031902998,113.95911150762683,977,854,AAPL
2023-01-01 00:00:01,109.50714306409915,115.41900947378358,262,545,103.6844891991658,116.497880467643,882,899,105.35464949656954,119.49829205486365,861,760,105.98182445542002,116.97797033062524,362,375,105.47630651380177,117.18348324520743,563,205,AAPL
2023-01-01 00:00:02,107.31993941811405,118.72945835876408,319,173,108.95346089153169,111.03434114860484,496,127,100.85143636556082,115.54825796503306,909,877,102.64404297929646,110.822332215106,428,894,104.9463594041559,116.12265228729876,799,682,AAPL
2023-01-01 00:00:03,105.98658484197037,117.32224886409561,369,109,106.66463047526835,114.0202721688824,616,432,103.02945167890084,113.41020172256034,624,136,105.27624456838709,114.18264080902576,462,875,103.10912028862178,112.85587679794057,723,688,AAPL
2023-01-01 00:00:04,101.56018640442437,118.0656114786145,731,583,107.87387026752333,117.28939200105157,558,100,107.44596975963076,119.61864874347998,354,788,105.17461009384292,115.59301872076827,966,345,105.03732745308234,116.53562221958025,551,153,AAPL
2023-01-01 00:00:05,101.55994520336202,116.58783366710718,947,555,104.54345423067655,117.79820884010068,429,287,109.64432179567982,115.47406406001225,184,441,109.243543461938,111.87411287983777,477,440,101.61773356384703,116.55565900956974,512,376,AAPL
2023-01-01 00:00:06,100.580836121682,116.92276564517853,499,665,106.30247219456157,111.18218622291089,919,155,107.17870580551929,110.6425272295461,557,112,105.49083222568723,114.48226582108225,879,672,103.69320944211675,115.92443185409076,850,210,AAPL
2023-01-01 00:00:07,108.66176145774935,118.49195651565319,281,663,102.48383608743208,110.00030718845382,944,646,109.9262554845287,116.42776550059865,631,282,105.82998479718316,116.01025877488689,440,570,100.98680917483877,110.99660824849514,575,323,AAPL
2023-01-01 00:00:08,106.0111501174321,112.49668008859186,717,759,107.05460830283486,117.12137045880606,268,211,106.98337971279403,115.8768475039501,661,756,104.0165312576438,113.273766801154,358,553,105.71846599786319,119.95171822374037,355,174,AAPL
2023-01-01 00:00:09,107.08072577796045,114.89424963643141,828,259,104.27601333703338,113.56596175986206,792,897,102.93794470654328,118.95792872894705,775,364,109.49079603182817,117.80944818950488,434,870,100.95767886199627,114.00416461170828,249,605,AAPL
2023-01-01 00:00:10,100.20584494295802,112.21209441819602,304,981,104.42545514814745,112.5448133161826,465,409,106.72052540505362,116.53187189157812,191,187,107.77185909439609,118.40449581638805,184,106,101.60344643905165,116.38250985396989,226,113,AAPL
