timestamp,trade_price,trade_volume,trade_direction,stock
2023-01-01 00:00:00,108.74540118847362,914,buy,AAPL
2023-01-01 00:00:01,114.50714306409915,111,buy,AAPL
2023-01-01 00:00:02,112.31993941811405,417,buy,AAPL
2023-01-01 00:00:03,110.98658484197037,691,buy,AAPL
2023-01-01 00:00:04,106.56018640442437,315,sell,AAPL
2023-01-01 00:00:05,106.55994520336202,438,sell,AAPL
2023-01-01 00:00:06,105.580836121682,875,sell,AAPL
2023-01-01 00:00:07,113.66176145774935,760,buy,AAPL
2023-01-01 00:00:08,111.0111501174321,180,sell,AAPL
2023-01-01 00:00:09,112.08072577796045,826,sell,AAPL
2023-01-01 00:00:10,105.20584494295802,584,sell,AAPL
2023-01-01 00:00:11,114.69909852161994,473,sell,AAPL
2023-01-01 00:00:12,113.32442640800421,809,sell,AAPL
2023-01-01 00:00:13,107.12339110678276,299,buy,AAPL
2023-01-01 00:00:14,106.818249672071,636,buy,AAPL
2023-01-01 00:00:15,106.83404509853433,565,sell,AAPL
2023-01-01 00:00:16,108.04242242959538,188,sell,AAPL
2023-01-01 00:00:17,110.24756431632238,367,sell,AAPL
2023-01-01 00:00:18,109.31945018642116,754,buy,AAPL
2023-01-01 00:00:19,107.91229140198043,670,buy,AAPL
2023-01-01 00:00:20,111.1185289472238,588,sell,AAPL
2023-01-01 00:00:21,106.39493860652041,976,buy,AAPL
2023-01-01 00:00:22,107.92144648535218,637,buy,AAPL
2023-01-01 00:00:23,108.66361843293691,146,sell,AAPL
2023-01-01 00:00:24,109.56069984217037,387,buy,AAPL
2023-01-01 00:00:25,112.85175961393014,877,buy,AAPL
2023-01-01 00:00:26,106.9967378215836,115,sell,AAPL
2023-01-01 00:00:27,110.14234438413612,810,buy,AAPL
2023-01-01 00:00:28,110.92414568862043,500,buy,AAPL
2023-01-01 00:00:29,105.46450412719997,893,sell,AAPL
2023-01-01 00:00:30,111.07544851901439,185,buy,AAPL
2023-01-01 00:00:31,106.70524123687292,349,buy,AAPL
2023-01-01 00:00:32,105.6505159298528,490,sell,AAPL
2023-01-01 00:00:33,114.48885537253334,881,sell,AAPL
2023-01-01 00:00:34,114.65632033074559,434,sell,AAPL
2023-01-01 00:00:35,113.0839734811646,728,buy,AAPL
2023-01-01 00:00:36,108.0461376917337,618,sell,AAPL
2023-01-01 00:00:37,105.97672114006384,236,buy,AAPL
2023-01-01 00:00:38,111.84233026512157,982,sell,AAPL
2023-01-01 00:00:39,109.40152493739602,787,buy,AAPL
2023-01-01 00:00:40,106.22038234844779,939,sell,AAPL
2023-01-01 00:00:41,109.9517691011127,597,sell,AAPL
2023-01-01 00:00:42,105.34388521115218,926,sell,AAPL
2023-01-01 00:00:43,114.09320402078782,826,sell,AAPL
2023-01-01 00:00:44,107.58779981600017,576,buy,AAPL
2023-01-01 00:00:45,111.62522284353982,693,sell,AAPL
2023-01-01 00:00:46,108.1171107608941,322,sell,AAPL
2023-01-01 00:00:47,110.2006802117781,471,buy,AAPL
2023-01-01 00:00:48,110.4671027934328,501,sell,AAPL
2023-01-01 00:00:49,106.84854455525527,542,buy,AAPL
2023-01-01 00:00:50,114.69584627764559,589,sell,AAPL
2023-01-01 00:00:51,112.75132823361115,714,sell,AAPL
2023-01-01 00:00:52,114.39498941564189,372,sell,AAPL
2023-01-01 00:00:53,113.94827350427649,625,buy,AAPL
2023-01-01 00:00:54,110.97899978811085,258,sell,AAPL
2023-01-01 00:00:55,114.21874235023117,251,sell,AAPL
2023-01-01 00:00:56,105.88492502051919,719,sell,AAPL
2023-01-01 00:00:57,106.95982862419145,287,buy,AAPL
2023-01-01 00:00:58,105.45227288910539,912,buy,AAPL
2023-01-01 00:00:59,108.25330330763265,197,sell,AAPL
2023-01-01 00:01:00,108.88677289689483,230,buy,AAPL
2023-01-01 00:01:01,107.71349031773896,904,sell,AAPL
2023-01-01 00:01:02,113.2873750915193,270,sell,AAPL
2023-01-01 00:01:03,108.5675332669359,282,sell,AAPL
2023-01-01 00:01:04,107.80934509687381,463,sell,AAPL
2023-01-01 00:01:05,110.42696083158249,138,sell,AAPL
2023-01-01 00:01:06,106.40924224974762,626,sell,AAPL
2023-01-01 00:01:07,113.0219698075404,987,sell,AAPL
2023-01-01 00:01:08,105.74550643679771,596,buy,AAPL
2023-01-01 00:01:09,114.86886936600517,615,buy,AAPL
2023-01-01 00:01:10,112.72244769296657,448,buy,AAPL
2023-01-01 00:01:11,106.98715681534172,496,buy,AAPL
2023-01-01 00:01:12,105.05522117123603,821,buy,AAPL
2023-01-01 00:01:13,113.15461428454834,260,buy,AAPL
2023-01-01 00:01:14,112.06857343847616,115,buy,AAPL
2023-01-01 00:01:15,112.29007168040988,592,sell,AAPL
2023-01-01 00:01:16,112.71270346685945,525,sell,AAPL
2023-01-01 00:01:17,105.7404465173409,207,sell,AAPL
2023-01-01 00:01:18,108.58465728544273,993,sell,AAPL
2023-01-01 00:01:19,106.1586905952513,549,buy,AAPL
2023-01-01 00:01:20,113.63103425875593,410,buy,AAPL
2023-01-01 00:01:21,111.23298126827558,838,sell,AAPL
2023-01-01 00:01:22,108.3089802485265,269,sell,AAPL
2023-01-01 00:01:23,105.63558350286024,645,buy,AAPL
2023-01-01 00:01:24,108.10982321715662,513,sell,AAPL
2023-01-01 00:01:25,108.25183322026747,350,sell,AAPL
2023-01-01 00:01:26,112.29606178338064,858,sell,AAPL
2023-01-01 00:01:27,111.37557471355213,880,sell,AAPL
2023-01-01 00:01:28,113.87212742576327,240,buy,AAPL
2023-01-01 00:01:29,109.7221492516195,373,sell,AAPL
2023-01-01 00:01:30,106.19594245938302,515,sell,AAPL
2023-01-01 00:01:31,112.13244787222995,707,buy,AAPL
2023-01-01 00:01:32,112.60785048616897,838,buy,AAPL
2023-01-01 00:01:33,110.61277197569497,990,sell,AAPL
2023-01-01 00:01:34,112.70967179954562,138,buy,AAPL
2023-01-01 00:01:35,109.9379559636439,913,sell,AAPL
2023-01-01 00:01:36,110.22732829381994,128,sell,AAPL
2023-01-01 00:01:37,109.27541018358549,576,buy,AAPL
2023-01-01 00:01:38,105.25419126744096,417,sell,AAPL
2023-01-01 00:01:39,106.07891426993305,344,sell,AAPL
2023-01-01 00:01:40,105.31429185686734,847,sell,AAPL
2023-01-01 00:01:41,111.3641041126378,796,sell,AAPL
2023-01-01 00:01:42,108.14355981076326,371,buy,AAPL
2023-01-01 00:01:43,110.08570691164702,539,buy,AAPL
2023-01-01 00:01:44,114.07566473926093,847,sell,AAPL
2023-01-01 00:01:45,107.49292229148875,338,buy,AAPL
2023-01-01 00:01:46,109.1038292303563,476,sell,AAPL
2023-01-01 00:01:47,112.55551138543049,365,sell,AAPL
2023-01-01 00:01:48,107.28798165491622,458,sell,AAPL
2023-01-01 00:01:49,105.76979909828793,439,sell,AAPL
2023-01-01 00:01:50,107.89751452913768,488,sell,AAPL
2023-01-01 00:01:51,106.61221287254004,676,buy,AAPL
2023-01-01 00:01:52,114.29697652342573,788,sell,AAPL
2023-01-01 00:01:53,113.08120379564417,102,buy,AAPL
2023-01-01 00:01:54,111.33403756510424,528,buy,AAPL
2023-01-01 00:01:55,113.71460590187718,241,sell,AAPL
2023-01-01 00:01:56,113.03672076899115,475,sell,AAPL
2023-01-01 00:01:57,106.86570058886036,769,sell,AAPL
2023-01-01 00:01:58,113.92558998489977,423,sell,AAPL
2023-01-01 00:01:59,110.39342241915651,245,sell,AAPL
2023-01-01 00:02:00,113.07440155164062,392,buy,AAPL
2023-01-01 00:02:01,113.96091299923494,764,sell,AAPL
2023-01-01 00:02:02,108.18003474971864,531,sell,AAPL
2023-01-01 00:02:03,106.10051924527677,804,buy,AAPL
2023-01-01 00:02:04,107.27935162541942,684,buy,AAPL
2023-01-01 00:02:05,109.27107788626256,498,sell,AAPL
2023-01-01 00:02:06,113.18014765922493,916,buy,AAPL
2023-01-01 00:02:07,113.60730583256344,988,sell,AAPL
2023-01-01 00:02:08,105.06952130531191,443,buy,AAPL
2023-01-01 00:02:09,110.10747302577566,239,buy,AAPL
2023-01-01 00:02:10,109.17411003148779,286,sell,AAPL
2023-01-01 00:02:11,107.2210781047073,904,buy,AAPL
2023-01-01 00:02:12,106.19865367333682,160,buy,AAPL
2023-01-01 00:02:13,108.37615171403628,479,buy,AAPL
2023-01-01 00:02:14,114.4290970391252,809,buy,AAPL
2023-01-01 00:02:15,108.23202932020756,906,buy,AAPL
2023-01-01 00:02:16,110.18790621743366,539,buy,AAPL
2023-01-01 00:02:17,112.03018958895177,418,sell,AAPL
2023-01-01 00:02:18,108.63629602379294,401,sell,AAPL
2023-01-01 00:02:19,114.71782082720961,443,buy,AAPL
2023-01-01 00:02:20,114.62447294942112,110,sell,AAPL
2023-01-01 00:02:21,107.51782295825365,161,sell,AAPL
2023-01-01 00:02:22,109.97248505892385,944,sell,AAPL
2023-01-01 00:02:23,108.0087830981677,325,buy,AAPL
2023-01-01 00:02:24,107.84840494377468,252,sell,AAPL
2023-01-01 00:02:25,105.36886947354533,810,buy,AAPL
2023-01-01 00:02:26,111.09564333979897,663,sell,AAPL
2023-01-01 00:02:27,110.02679023228862,871,buy,AAPL
2023-01-01 00:02:28,105.5147875124999,670,buy,AAPL
2023-01-01 00:02:29,107.78646464236611,683,sell,AAPL
2023-01-01 00:02:30,114.08265885966654,759,sell,AAPL
2023-01-01 00:02:31,107.39561890666972,960,buy,AAPL
2023-01-01 00:02:32,106.44894872091223,674,sell,AAPL
2023-01-01 00:02:33,109.89452760277563,409,sell,AAPL
2023-01-01 00:02:34,114.856504541106,984,sell,AAPL
2023-01-01 00:02:35,107.42055271511501,342,buy,AAPL
2023-01-01 00:02:36,111.72135547405878,592,buy,AAPL
2023-01-01 00:02:37,112.61619615328718,465,sell,AAPL
2023-01-01 00:02:38,107.37637543992399,429,sell,AAPL
2023-01-01 00:02:39,112.28216348611859,206,sell,AAPL
2023-01-01 00:02:40,108.67783132719254,325,buy,AAPL
2023-01-01 00:02:41,111.32305830593579,924,buy,AAPL
2023-01-01 00:02:42,111.33529710760895,317,sell,AAPL
2023-01-01 00:02:43,110.35774684074758,852,sell,AAPL
2023-01-01 00:02:44,105.90289770054409,605,sell,AAPL
2023-01-01 00:02:45,113.35302495589238,358,sell,AAPL
2023-01-01 00:02:46,108.20780064971736,987,sell,AAPL
2023-01-01 00:02:47,106.86518510399854,873,sell,AAPL
2023-01-01 00:02:48,105.40775141554764,616,buy,AAPL
2023-01-01 00:02:49,110.90892943188241,872,sell,AAPL
2023-01-01 00:02:50,111.77564361842282,153,buy,AAPL
2023-01-01 00:02:51,105.16587828927857,146,sell,AAPL
2023-01-01 00:02:52,110.12093058299281,826,sell,AAPL
2023-01-01 00:02:53,107.26495775197938,788,buy,AAPL
2023-01-01 00:02:54,111.4517279040945,620,buy,AAPL
2023-01-01 00:02:55,106.74366429004992,198,buy,AAPL
2023-01-01 00:02:56,111.90937738102465,119,buy,AAPL
2023-01-01 00:02:57,108.86735346300537,989,sell,AAPL
